Player,Country,Team,Assists,Season
Dimitar Berbatov,Bulgaria,Tottenham Hotspur,11,2008-2009
Steven Gerrard,England,Liverpool FC,11,2008-2009
Frank Lampard,England,Chelsea FC,10,2008-2009
Robin van Persie,Netherlands,Arsenal FC,10,2008-2009
Cesc Fàbregas,Spain,Arsenal FC,9,2008-2009
Stephen Ireland,Ireland,Manchester City,9,2008-2009
Luka Modrić,Croatia,Tottenham Hotspur,9,2008-2009
Dirk Kuyt,Netherlands,Liverpool FC,8,2008-2009
Mikel Arteta,Spain,Everton FC,8,2008-2009
James Milner,England,Newcastle United,8,2008-2009
Wayne Rooney,England,Manchester United,8,2008-2009
Nicolas Anelka,France,Chelsea FC,7,2008-2009
Michael Carrick,England,Manchester United,7,2008-2009
Cristiano Ronaldo,Portugal,Manchester United,7,2008-2009
Denilson,Brazil,Arsenal FC,7,2008-2009
Ryan Giggs,Wales,Manchester United,7,2008-2009
Robbie Keane,Ireland,Tottenham Hotspur,7,2008-2009
Morten Pedersen,Norway,Blackburn Rovers,7,2008-2009
Steven Pienaar,South Africa,Everton FC,7,2008-2009
Gabriel Agbonlahor,England,Aston Villa,6,2008-2009
Andrey Arshavin,Russia,Arsenal FC,6,2008-2009
Leighton Baines,England,Everton FC,6,2008-2009
Steed Malbranque,France,Sunderland AFC,6,2008-2009
Florent Malouda,French Guyana,Chelsea FC,6,2008-2009
Danny Murphy,England,Fulham FC,6,2008-2009
Ashley Young,England,Aston Villa,6,2008-2009
Michael Ballack,Germany,Chelsea FC,5,2008-2009
Gareth Barry,England,Aston Villa,5,2008-2009
Joe Cole,England,Chelsea FC,5,2008-2009
Mark Noble,England,West Ham United,5,2008-2009
Robinho,Brazil,Manchester City,5,2008-2009
Matthew Taylor,England,Bolton Wanderers,5,2008-2009
Antonio Valencia,Ecuador,Wigan Athletic,5,2008-2009
Shaun Wright-Phillips,England,Manchester City,5,2008-2009
Emmanuel Adebayor,Togo,Arsenal FC,4,2008-2009
Yossi Benayoun,Israel,Liverpool FC,4,2008-2009
Gary Cahill,England,Bolton Wanderers,4,2008-2009
Tim Cahill,Australia,Everton FC,4,2008-2009
Carlton Cole,England,West Ham United,4,2008-2009
Peter Crouch,England,Portsmouth FC,4,2008-2009
Simon Davies,Wales,Fulham FC,4,2008-2009
Jermain Defoe,England,Tottenham Hotspur,4,2008-2009
Rory Delap,Ireland,Stoke City,4,2008-2009
David Di Michele,Italy,West Ham United,4,2008-2009
Stewart Downing,England,Middlesbrough FC,4,2008-2009
Didier Drogba,Ivory Coast,Chelsea FC,4,2008-2009
Matthew Etherington,England,West Ham United,4,2008-2009
Fábio Aurélio,Brazil,Liverpool FC,4,2008-2009
Fernando Torres,Spain,Liverpool FC,4,2008-2009
Marc-Antoine Fortuné,France,West Bromwich Albion,4,2008-2009
Jonás Gutiérrez,Argentina,Newcastle United,4,2008-2009
Aaron Lennon,England,Tottenham Hotspur,4,2008-2009
Dean Marney,England,Hull City,4,2008-2009
James Morrison,Scotland,West Bromwich Albion,4,2008-2009
Nani,Portugal,Manchester United,4,2008-2009
Leon Osman,England,Everton FC,4,2008-2009
Scott Parker,England,West Ham United,4,2008-2009
Jermaine Pennant,England,Portsmouth FC,4,2008-2009
Andy Reid,Ireland,Sunderland AFC,4,2008-2009
Jason Roberts,Grenada,Blackburn Rovers,4,2008-2009
Christopher Samba,Congo,Blackburn Rovers,4,2008-2009
Tuncay Şanlı,Turkey,Middlesbrough FC,4,2008-2009
Grétar Steinsson,Iceland,Bolton Wanderers,4,2008-2009
Xabi Alonso,Spain,Liverpool FC,4,2008-2009
