Player,Country,Team,Goals,Season
Harry Kane,England,Tottenham Hotspur,36,2016-2017
Alexis Sánchez,Chile,Arsenal FC,34,2016-2017
Romelu Lukaku,Belgium,Everton FC,31,2016-2017
Diego Costa,Brazil,Chelsea FC,27,2016-2017
Dele Alli,England,Tottenham Hotspur,25,2016-2017
Kevin De Bruyne,Belgium,Manchester City,24,2016-2017
Sergio Agüero,Argentina,Manchester City,23,2016-2017
Christian Eriksen,Denmark,Tottenham Hotspur,23,2016-2017
Zlatan Ibrahimović,Sweden,Manchester United,22,2016-2017
Gylfi Sigurðsson,Iceland,Swansea City,22,2016-2017
Eden Hazard,Belgium,Chelsea FC,21,2016-2017
Heung-min Son,South Korea,Tottenham Hotspur,20,2016-2017
Philippe Coutinho,Brazil,Liverpool FC,20,2016-2017
Pedro,Spain,Chelsea FC,19,2016-2017
Joshua King,Norway,AFC Bournemouth,18,2016-2017
Sadio Mané,Senegal,Liverpool FC,18,2016-2017
Jamie Vardy,England,Leicester City,18,2016-2017
Roberto Firmino,Brazil,Liverpool FC,18,2016-2017
Christian Benteke,Belgium,Crystal Palace,17,2016-2017
Jermain Defoe,England,Sunderland AFC,17,2016-2017
Mesut Özil,Germany,Arsenal FC,17,2016-2017
Llorente,Spain,Swansea City,16,2016-2017
Wilfried Zaha,Ivory Coast,Crystal Palace,16,2016-2017
Cesc Fàbregas,Spain,Chelsea FC,16,2016-2017
Olivier Giroud,France,Arsenal FC,15,2016-2017
Adam Lallana,England,Liverpool FC,15,2016-2017
Georginio Wijnaldum,Netherlands,Liverpool FC,15,2016-2017
Troy Deeney,England,Watford FC,14,2016-2017
Raheem Sterling,England,Manchester City,14,2016-2017
Sam Vokes,Wales,Burnley FC,13,2016-2017
Álvaro Negredo,Spain,Middlesbrough FC,13,2016-2017
Ross Barkley,England,Everton FC,13,2016-2017
Theo Walcott,England,Arsenal FC,12,2016-2017
Michail Antonio,Jamaica,West Ham United,12,2016-2017
Andre Gray,Jamaica,Burnley FC,12,2016-2017
Robert Snodgrass,Scotland,Hull City,12,2016-2017
Junior Stanislas,England,AFC Bournemouth,12,2016-2017
Matthew Phillips,Scotland,West Bromwich Albion,12,2016-2017
Gabriel Jesus,Brazil,Manchester City,11,2016-2017
Islam Slimani,Algeria,Leicester City,11,2016-2017
Marko Arnautović,Austria,Stoke City,11,2016-2017
David Silva,Spain,Manchester City,11,2016-2017
Manuel Lanzini,Argentina,West Ham United,10,2016-2017
Salomón Rondón,Venezuela,West Bromwich Albion,10,2016-2017
Willian,Brazil,Chelsea FC,10,2016-2017
James Milner,England,Liverpool FC,10,2016-2017
Divock Origi,Belgium,Liverpool FC,10,2016-2017
Nacer Chadli,Belgium,West Bromwich Albion,10,2016-2017
Wayne Rooney,England,Manchester United,10,2016-2017
Anthony Martial,France,Manchester United,10,2016-2017
Kevin Mirallas,Belgium,Everton FC,10,2016-2017
Peter Crouch,England,Stoke City,9,2016-2017
Benik Afobe,Congo DR,AFC Bournemouth,9,2016-2017
André Ayew,Ghana,West Ham United,9,2016-2017
Juan Mata,Spain,Manchester United,9,2016-2017
Riyad Mahrez,Algeria,Leicester City,9,2016-2017
Marcos Alonso,Spain,Chelsea FC,9,2016-2017
Paul Pogba,France,Manchester United,9,2016-2017
Alex Oxlade-Chamberlain,England,Arsenal FC,9,2016-2017
Nemanja Matić,Serbia,Chelsea FC,9,2016-2017
Étienne Capoue,France,Watford FC,8,2016-2017
Andy Carroll,England,West Ham United,8,2016-2017
Nathan Redmond,England,Southampton FC,8,2016-2017
Joe Allen,Wales,Stoke City,8,2016-2017
Ashley Barnes,England,Burnley FC,8,2016-2017
Leroy Fer,Netherlands,Swansea City,8,2016-2017
James McArthur,Scotland,Crystal Palace,8,2016-2017
Leroy Sané,Germany,Manchester City,8,2016-2017
James Ward-Prowse,England,Southampton FC,8,2016-2017
Ryan Fraser,Scotland,AFC Bournemouth,8,2016-2017
Dušan Tadić,Serbia,Southampton FC,8,2016-2017
Marc Albrighton,England,Leicester City,8,2016-2017
Dimitri Payet,France,West Ham United,8,2016-2017
Charlie Austin,England,Southampton FC,7,2016-2017
Gareth McAuley,Northern Ireland,West Bromwich Albion,7,2016-2017
Emre Can,Germany,Liverpool FC,7,2016-2017
Jay Rodriguez,England,Southampton FC,7,2016-2017
Yohan Cabaye,France,Crystal Palace,7,2016-2017
Séamus Coleman,Ireland,Everton FC,7,2016-2017
Charlie Daniels,England,AFC Bournemouth,7,2016-2017
Abel Hernández,Uruguay,Hull City,7,2016-2017
Kelechi Iheanacho,Nigeria,Manchester City,7,2016-2017
Chris Brunt,Northern Ireland,West Bromwich Albion,7,2016-2017
Andros Townsend,England,Crystal Palace,7,2016-2017
Ander Herrera,Spain,Manchester United,7,2016-2017
Gary Cahill,England,Chelsea FC,6,2016-2017
Callum Wilson,England,AFC Bournemouth,6,2016-2017
Michy Batshuayi,Belgium,Chelsea FC,6,2016-2017
James Morrison,Scotland,West Bromwich Albion,6,2016-2017
Marcus Rashford,England,Manchester United,6,2016-2017
Patrick van Aanholt,Netherlands,Crystal Palace,6,2016-2017
Nolito,Spain,Manchester City,6,2016-2017
Xherdan Shaqiri,Switzerland,Stoke City,6,2016-2017
Jon Walters,Ireland,Stoke City,6,2016-2017
Sofiane Féghouli,Algeria,West Ham United,6,2016-2017
Alex Iwobi,Nigeria,Arsenal FC,6,2016-2017
Ryan Bertrand,England,Southampton FC,6,2016-2017
José Cholevas,Greece,Watford FC,6,2016-2017
Christian Fuchs,Austria,Leicester City,6,2016-2017
Adam Smith,England,AFC Bournemouth,6,2016-2017
Yaya Touré,Ivory Coast,Manchester City,5,2016-2017
Henrikh Mkhitaryan,Armenia,Manchester United,5,2016-2017
Oumar Niasse,Senegal,Hull City,5,2016-2017
Victor Wanyama,Kenya,Tottenham Hotspur,5,2016-2017
Phil Jagielka,England,Everton FC,5,2016-2017
Victor Moses,Nigeria,Chelsea FC,5,2016-2017
Hal Robson-Kanu,Wales,West Bromwich Albion,5,2016-2017
Leighton Baines,England,Everton FC,5,2016-2017
Tom Davies,England,Everton FC,5,2016-2017
Darren Fletcher,Scotland,West Bromwich Albion,5,2016-2017
Gastón Ramírez,Uruguay,Middlesbrough FC,5,2016-2017
Harry Arter,Ireland,AFC Bournemouth,5,2016-2017
Yannick Bolasie,Congo DR,Crystal Palace,5,2016-2017
Héctor Bellerín,Spain,Arsenal FC,5,2016-2017
Jordan Henderson,England,Liverpool FC,5,2016-2017
Aaron Ramsey,Wales,Arsenal FC,5,2016-2017
Jason Puncheon,England,Crystal Palace,5,2016-2017
Kieran Trippier,England,Tottenham Hotspur,5,2016-2017
Kyle Walker,England,Tottenham Hotspur,5,2016-2017
Craig Dawson,England,West Bromwich Albion,4,2016-2017
Marten de Roon,Netherlands,Middlesbrough FC,4,2016-2017
Manolo Gabbiadini,Italy,Southampton FC,4,2016-2017
Alfie Mawson,England,Swansea City,4,2016-2017
Stefano Okaka,Italy,Watford FC,4,2016-2017
Cristhian Stuani,Uruguay,Middlesbrough FC,4,2016-2017
Nathan Aké,Netherlands,AFC Bournemouth,4,2016-2017
Sam Clucas,England,Hull City,4,2016-2017
Scott Dann,England,Crystal Palace,4,2016-2017
İlkay Gündoğan,Germany,Manchester City,4,2016-2017
Shane Long,Ireland,Southampton FC,4,2016-2017
Shinji Okazaki,Japan,Leicester City,4,2016-2017
Wayne Routledge,England,Swansea City,4,2016-2017
Daniel Sturridge,England,Liverpool FC,4,2016-2017
Enner Valencia,Ecuador,Everton FC,4,2016-2017
Robert Huth,Germany,Leicester City,4,2016-2017
Vincent Janssen,Netherlands,Tottenham Hotspur,4,2016-2017
Harry Maguire,England,Hull City,4,2016-2017
Shkodran Mustafi,Germany,Arsenal FC,4,2016-2017
M'Baye Niang,Senegal,Watford FC,4,2016-2017
Roberto Pereyra,Argentina,Watford FC,4,2016-2017
Marc Pugh,England,AFC Bournemouth,4,2016-2017
Andrea Ranocchia,Italy,Hull City,4,2016-2017
Winston Reid,New Zealand,West Ham United,4,2016-2017
Danny Rose,England,Tottenham Hotspur,4,2016-2017
Santi Cazorla,Spain,Arsenal FC,4,2016-2017
Danny Welbeck,England,Arsenal FC,4,2016-2017
Granit Xhaka,Switzerland,Arsenal FC,4,2016-2017
Charlie Adam,Scotland,Stoke City,4,2016-2017
Jordan Ayew,Ghana,Swansea City,4,2016-2017
Azpilicueta,Spain,Chelsea FC,4,2016-2017
Ben Davies,Wales,Tottenham Hotspur,4,2016-2017
Steven Defour,Belgium,Burnley FC,4,2016-2017
Stewart Downing,England,Middlesbrough FC,4,2016-2017
Demarai Gray,Jamaica,Leicester City,4,2016-2017
Antonio Valencia,Ecuador,Manchester United,4,2016-2017
Ashley Williams,Wales,Everton FC,4,2016-2017
Victor Anichebe,Nigeria,Sunderland AFC,3,2016-2017
Bojan,Spain,Stoke City,3,2016-2017
Michael Dawson,England,Hull City,3,2016-2017
Vincent Kompany,Belgium,Manchester City,3,2016-2017
Mark Noble,England,West Ham United,3,2016-2017
James Tomkins,England,Crystal Palace,3,2016-2017
Gareth Barry,England,Everton FC,3,2016-2017
George Boyd,Scotland,Burnley FC,3,2016-2017
Calum Chambers,England,Arsenal FC,3,2016-2017
Jonny Evans,Northern Ireland,West Bromwich Albion,3,2016-2017
Fernandinho,Brazil,Manchester City,3,2016-2017
Jeff Hendrick,Ireland,Burnley FC,3,2016-2017
Daryl Janmaat,Netherlands,Watford FC,3,2016-2017
Michael Keane,England,Burnley FC,3,2016-2017
Dejan Lovren,Croatia,Liverpool FC,3,2016-2017
Wilfred Ndidi,Nigeria,Leicester City,3,2016-2017
Daley Blind,Netherlands,Manchester United,3,2016-2017
Robbie Brady,Ireland,Burnley FC,3,2016-2017
Miguel Britos,Uruguay,Watford FC,3,2016-2017
Tom Carroll,England,Swansea City,3,2016-2017
Mousa Dembélé,Belgium,Tottenham Hotspur,3,2016-2017
Mame Diouf,Senegal,Stoke City,3,2016-2017
Jóhann Guðmundsson,Iceland,Burnley FC,3,2016-2017
Jesse Lingard,England,Manchester United,3,2016-2017
Shaun Maloney,Scotland,Hull City,3,2016-2017
Dean Marney,England,Burnley FC,3,2016-2017
James McClean,Ireland,West Bromwich Albion,3,2016-2017
Andy Robertson,Scotland,Hull City,3,2016-2017
Nordin Amrabat,Morocco,Watford FC,3,2016-2017
Cédric,Portugal,Southampton FC,3,2016-2017
Steven Davis,Northern Ireland,Southampton FC,3,2016-2017
Viktor Fischer,Denmark,Middlesbrough FC,3,2016-2017
Kamil Grosicki,Poland,Hull City,3,2016-2017
Adnan Januzaj,Belgium,Sunderland AFC,3,2016-2017
Lucas Leiva,Brazil,Liverpool FC,3,2016-2017
Luciano Narsingh,Netherlands,Swansea City,3,2016-2017
Wilfried Bony,Ivory Coast,Stoke City,2,2016-2017
Fabio Borini,Italy,Sunderland AFC,2,2016-2017
James Collins,Wales,West Ham United,2,2016-2017
Steve Cook,England,AFC Bournemouth,2,2016-2017
Eric Dier,England,Tottenham Hotspur,2,2016-2017
Adama Diomandé,Norway,Hull City,2,2016-2017
Dan Gosling,England,AFC Bournemouth,2,2016-2017
Christian Kabasele,Belgium,Watford FC,2,2016-2017
Younès Kaboul,France,Watford FC,2,2016-2017
Laurent Koscielny,France,Arsenal FC,2,2016-2017
Lazar Marković,Serbia,Hull City,2,2016-2017
Luka Milivojević,Serbia,Crystal Palace,2,2016-2017
Ahmed Musa,Nigeria,Leicester City,2,2016-2017
Martin Olsson,Sweden,Swansea City,2,2016-2017
Connor Wickham,England,Crystal Palace,2,2016-2017
Daniel Amartey,Ghana,Leicester City,2,2016-2017
Jordy Clasie,Netherlands,Southampton FC,2,2016-2017
Danny Drinkwater,England,Leicester City,2,2016-2017
Ben Gibson,England,Middlesbrough FC,2,2016-2017
Idrissa Gueye,Senegal,Everton FC,2,2016-2017
Odion Ighalo,Nigeria,Watford FC,2,2016-2017
N'Golo Kanté,France,Chelsea FC,2,2016-2017
Aleksandar Kolarov,Serbia,Manchester City,2,2016-2017
Érik Lamela,Argentina,Tottenham Hotspur,2,2016-2017
Jake Livermore,England,Hull City,2,2016-2017
James McCarthy,Ireland,Everton FC,2,2016-2017
Nicolás Otamendi,Argentina,Manchester City,2,2016-2017
Pedro Obiang,Equatorial Guinea,West Ham United,2,2016-2017
Sebastian Prödl,Austria,Watford FC,2,2016-2017
Ryan Shawcross,England,Stoke City,2,2016-2017
Chris Smalling,England,Manchester United,2,2016-2017
Isaac Success,Nigeria,Watford FC,2,2016-2017
Stephen Ward,Ireland,Burnley FC,2,2016-2017
Harry Winks,England,Tottenham Hotspur,2,2016-2017
Pablo Zabaleta,Argentina,Manchester City,2,2016-2017
Modou Barrow,Gambia,Swansea City,2,2016-2017
Adam Clayton,England,Middlesbrough FC,2,2016-2017
Tom Cleverley,England,Watford FC,2,2016-2017
Nathaniel Clyne,England,Liverpool FC,2,2016-2017
Lewis Cook,England,AFC Bournemouth,2,2016-2017
Aaron Cresswell,England,West Ham United,2,2016-2017
