Player,Country,Team,Goals,Season
Jamaal Lascelles,England,Newcastle United,3,2016-2017
Lucas João,Angola,Sheffield Wednesday,3,2016-2017
Joel Lynch,Wales,Queens Park Rangers,3,2016-2017
Jacques Maghoma,Congo DR,Birmingham City,3,2016-2017
Simon Makienok,Denmark,Preston North End,3,2016-2017
Solly March,England,Brighton & Hove Albion,3,2016-2017
Ben Marshall,England,Wolverhampton Wanderers,3,2016-2017
Joe Mason,Ireland,Wolverhampton Wanderers,3,2016-2017
Kevin McDonald,Scotland,Fulham FC,3,2016-2017
Paul McShane,Ireland,Reading FC,3,2016-2017
Joseph Mendes,Guinea-Bissau,Reading FC,3,2016-2017
Michael Morrison,England,Birmingham City,3,2016-2017
Charlie Mulgrew,Scotland,Blackburn Rovers,3,2016-2017
Yeni N’Gbakoto,Congo DR,Queens Park Rangers,3,2016-2017
Tom Naylor,England,Burton Albion,3,2016-2017
Nedum Onuoha,England,Queens Park Rangers,3,2016-2017
Adam Reach,England,Sheffield Wednesday,3,2016-2017
Jordan Rhodes,Scotland,Sheffield Wednesday,3,2016-2017
Paweł Wszołek,Poland,Queens Park Rangers,3,2016-2017
Jordan Ayew,Ghana,Aston Villa,2,2016-2017
Sol Bamba,Ivory Coast,Leeds United,2,2016-2017
Jermaine Beckford,Jamaica,Preston North End,2,2016-2017
Aymen Belaïd,Tunisia,Rotherham United,2,2016-2017
Nicklas Bendtner,Denmark,Nottingham Forest,2,2016-2017
Christophe Berra,Scotland,Ipswich Town,2,2016-2017
Philip Billing,Denmark,Huddersfield Town,2,2016-2017
Craig Bryson,Scotland,Derby County,2,2016-2017
Steven Caulker,Sierra Leone,Queens Park Rangers,2,2016-2017
Josh Clarke,England,Brentford FC,2,2016-2017
Callum Connolly,England,Wigan Athletic,2,2016-2017
Stuart Dallas,Northern Ireland,Leeds United,2,2016-2017
Shane Duffy,Ireland,Brighton & Hove Albion,2,2016-2017
Lewis Dunk,England,Brighton & Hove Albion,2,2016-2017
Milan Đurić,Bosnia-Herzegovina,Bristol City,2,2016-2017
George Evans,England,Reading FC,2,2016-2017
Anthony Forde,Ireland,Rotherham United,2,2016-2017
Craig Gardner,England,Birmingham City,2,2016-2017
Alex Gilbey,England,Wigan Athletic,2,2016-2017
Jonathan Grounds,England,Birmingham City,2,2016-2017
Kortney Hause,England,Wolverhampton Wanderers,2,2016-2017
Isaac Hayden,England,Newcastle United,2,2016-2017
Hildeberto,Cape Verde,Nottingham Forest,2,2016-2017
Junior Hoilett,Canada,Cardiff City,2,2016-2017
Daryl Horgan,Ireland,Preston North End,2,2016-2017
Will Hughes,England,Derby County,2,2016-2017
Sam Hutchinson,England,Sheffield Wednesday,2,2016-2017
João Teixeira,Portugal,Wolverhampton Wanderers,2,2016-2017
Pajtim Kasami,Switzerland,Nottingham Forest,2,2016-2017
Jonas Knudsen,Denmark,Ipswich Town,2,2016-2017
Thomas Lam,Finland,Nottingham Forest,2,2016-2017
Eric Lichaj,USA,Nottingham Forest,2,2016-2017
Chris Löwe,Germany,Huddersfield Town,2,2016-2017
Russell Martin,Scotland,Norwich City,2,2016-2017
Alfie Mawson,England,Barnsley FC,2,2016-2017
George Moncur,England,Barnsley FC,2,2016-2017
Jamie Murphy,Scotland,Brighton & Hove Albion,2,2016-2017
Joe Newell,England,Rotherham United,2,2016-2017
Craig Noone,England,Cardiff City,2,2016-2017
Jordan Obita,England,Reading FC,2,2016-2017
Denis Odoi,Belgium,Fulham FC,2,2016-2017
Prince Oniangué,Congo,Wolverhampton Wanderers,2,2016-2017
Marlon Pack,England,Bristol City,2,2016-2017
Jack Payne,England,Huddersfield Town,2,2016-2017
Alex Pearce,Ireland,Derby County,2,2016-2017
Damien Perquis,Poland,Nottingham Forest,2,2016-2017
Daniel Pudil,Czech Republic,Sheffield Wednesday,2,2016-2017
Collin Quaner,Germany,Huddersfield Town,2,2016-2017
Johnny Russell,Scotland,Derby County,2,2016-2017
Hadi Sacko,Mali,Leeds United,2,2016-2017
Dominic Samuel,England,Reading FC,2,2016-2017
Vincent Sasso,France,Sheffield Wednesday,2,2016-2017
Romaine Sawyers,St. Kitts & Nevis,Brentford FC,2,2016-2017
Christopher Schindler,Germany,Huddersfield Town,2,2016-2017
Josh Scowen,England,Barnsley FC,2,2016-2017
Ryan Shotton,England,Birmingham City,2,2016-2017
Dale Stephens,England,Brighton & Hove Albion,2,2016-2017
Rajiv van La Parra,Netherlands,Huddersfield Town,2,2016-2017
Marnick Vermijl,Belgium,Sheffield Wednesday,2,2016-2017
Andreas Weimann,Austria,Wolverhampton Wanderers,2,2016-2017
Richard Wood,England,Rotherham United,2,2016-2017
Almen Abdi,Switzerland,Sheffield Wednesday,1,2016-2017
Gabriel Agbonlahor,England,Aston Villa,1,2016-2017
Semi Ajayi,Nigeria,Rotherham United,1,2016-2017
Hope Akpan,Nigeria,Blackburn Rovers,1,2016-2017
Marcus Antonsson,Sweden,Leeds United,1,2016-2017
Ikechi Anya,Scotland,Derby County,1,2016-2017
Leandro Bacuna,Curaçao,Aston Villa,1,2016-2017
Nathan Baker,England,Aston Villa,1,2016-2017
Barry Bannan,Scotland,Sheffield Wednesday,1,2016-2017
Yoann Barbet,France,Brentford FC,1,2016-2017
Nick Blackman,Barbados,Derby County,1,2016-2017
Dexter Blackstock,Antigua & Barbuda,Rotherham United,1,2016-2017
Wes Brown,England,Blackburn Rovers,1,2016-2017
Josh Brownhill,England,Bristol City,1,2016-2017
Kévin Bru,Mauritius,Ipswich Town,1,2016-2017
Joe Bryan,England,Bristol City,1,2016-2017
Reece Burke,England,Wigan Athletic,1,2016-2017
Dan Burn,England,Wigan Athletic,1,2016-2017
Jacob Butterfield,England,Derby County,1,2016-2017
Jake Buxton,England,Wigan Athletic,1,2016-2017
Mustapha Carayol,Gambia,Nottingham Forest,1,2016-2017
Cyrus Christie,Ireland,Derby County,1,2016-2017
Chris Cohen,England,Nottingham Forest,1,2016-2017
Matthew Connolly,England,Cardiff City,1,2016-2017
Gohi Bi Cyriac,Ivory Coast,Fulham FC,1,2016-2017
Craig Davies,Wales,Wigan Athletic,1,2016-2017
Julien De Sart,Belgium,Derby County,1,2016-2017
Mitchell Dijks,Netherlands,Norwich City,1,2016-2017
Eoin Doyle,Ireland,Preston North End,1,2016-2017
Nicolao Dumitru,Italy,Nottingham Forest,1,2016-2017
Tom Field,Ireland,Brentford FC,1,2016-2017
Craig Forsyth,Scotland,Derby County,1,2016-2017
Morgan Fox,Wales,Sheffield Wednesday,1,2016-2017
Lee Frecklington,Ireland,Rotherham United,1,2016-2017
Kerim Frei,Turkey,Birmingham City,1,2016-2017
Paul Gallagher,Scotland,Preston North End,1,2016-2017
Gary Gardner,England,Aston Villa,1,2016-2017
Stephen Gleeson,Ireland,Birmingham City,1,2016-2017
Chris Gunter,Wales,Reading FC,1,2016-2017
Danny Guthrie,England,Blackburn Rovers,1,2016-2017
Grant Hanley,Scotland,Newcastle United,1,2016-2017
Callum Harriott,England,Reading FC,1,2016-2017
Rhys Healey,England,Cardiff City,1,2016-2017
Tommie Hoban,Ireland,Blackburn Rovers,1,2016-2017
Jonathan Hogg,England,Huddersfield Town,1,2016-2017
Uwe Hünemeier,Germany,Brighton & Hove Albion,1,2016-2017
Paul Huntington,England,Preston North End,1,2016-2017
Ivo Pinto,Portugal,Norwich City,1,2016-2017
Matty James,England,Barnsley FC,1,2016-2017
Saidy Janko,Switzerland,Barnsley FC,1,2016-2017
Florian Jozefzoon,Suriname,Brentford FC,1,2016-2017
Tomáš Kalas,Czech Republic,Fulham FC,1,2016-2017
Liam Kelly,Ireland,Reading FC,1,2016-2017
Konstantin Kerschbaumer,Austria,Brentford FC,1,2016-2017
Maikel Kieftenbeld,Netherlands,Birmingham City,1,2016-2017
Timm Klose,Switzerland,Norwich City,1,2016-2017
Kyle Lafferty,Northern Ireland,Norwich City,1,2016-2017
Adam Le Fondre,England,Wigan Athletic,1,2016-2017
Tom Lees,England,Sheffield Wednesday,1,2016-2017
Joe Lolley,England,Huddersfield Town,1,2016-2017
Glenn Loovens,Netherlands,Sheffield Wednesday,1,2016-2017
Kazenga LuaLua,England,Queens Park Rangers,1,2016-2017
Massimo Luongo,Australia,Queens Park Rangers,1,2016-2017
Angus MacDonald,England,Barnsley FC,1,2016-2017
Shaun MacDonald,Wales,Wigan Athletic,1,2016-2017
Jamie Mackie,Scotland,Queens Park Rangers,1,2016-2017
James Maddison,England,Norwich City,1,2016-2017
Hörður Magnússon,Iceland,Bristol City,1,2016-2017
Ryan Manning,Ireland,Queens Park Rangers,1,2016-2017
Stevie May,Scotland,Preston North End,1,2016-2017
Chancel Mbemba,Congo DR,Newcastle United,1,2016-2017
Kyle McFadzean,England,Burton Albion,1,2016-2017
Yakou Meïté,Ivory Coast,Reading FC,1,2016-2017
William Miller,England,Burton Albion,1,2016-2017
Matt Mills,England,Nottingham Forest,1,2016-2017
Liam Moore,Jamaica,Reading FC,1,2016-2017
Sam Morsy,Egypt,Wigan Athletic,1,2016-2017
Alex Mowatt,England,Leeds United,1,2016-2017
Luke Murphy,England,Burton Albion,1,2016-2017
Jordon Mutch,England,Reading FC,1,2016-2017
Emilio N'Sue,Equatorial Guinea,Birmingham City,1,2016-2017
Chris O'Grady,England,Burton Albion,1,2016-2017
Gary O'Neil,England,Bristol City,1,2016-2017
Gabriel Obertan,France,Wigan Athletic,1,2016-2017
Martin Olsson,Sweden,Norwich City,1,2016-2017
Matt Palmer,England,Burton Albion,1,2016-2017
Ben Pearson,England,Preston North End,1,2016-2017
Pedraza,Spain,Leeds United,1,2016-2017
Kalvin Phillips,England,Leeds United,1,2016-2017
Pinillos,Spain,Nottingham Forest,1,2016-2017
Sébastien Pocognoli,Belgium,Brighton & Hove Albion,1,2016-2017
Adrian Popa,Romania,Reading FC,1,2016-2017
Tim Ream,USA,Fulham FC,1,2016-2017
George Saville,Northern Ireland,Wolverhampton Wanderers,1,2016-2017
Steven Sidwell,England,Brighton & Hove Albion,1,2016-2017
Ragnar Sigurðsson,Iceland,Fulham FC,1,2016-2017
Richard Smallwood,England,Rotherham United,1,2016-2017
Tommy Spurr,England,Preston North End,1,2016-2017
Anthony Stokes,Ireland,Blackburn Rovers,1,2016-2017
Matty Taylor,England,Bristol City,1,2016-2017
Aaron Tshibola,England,Nottingham Forest,1,2016-2017
Ryan Tunnicliffe,England,Wigan Athletic,1,2016-2017
Ben Turner,England,Burton Albion,1,2016-2017
Will Vaulks,Wales,Rotherham United,1,2016-2017
Ronaldo Vieira,England,Leeds United,1,2016-2017
Adam Webster,England,Ipswich Town,1,2016-2017
Derrick Williams,Ireland,Bristol City,1,2016-2017
Ryan Williams,Australia,Barnsley FC,1,2016-2017
Bailey Wright,Australia,Preston North End,1,2016-2017
Jerry Yates,England,Rotherham United,1,2016-2017
DeAndre Yedlin,USA,Newcastle United,1,2016-2017
