Player,Country,Team,Goals,Season
Aleksandar Mitrović,Serbia,Fulham FC,26,2019-2020
Ollie Watkins,England,Brentford FC,25,2019-2020
Lewis Grabban,Jamaica,Nottingham Forest,20,2019-2020
Karlan Grant,England,Huddersfield Town,19,2019-2020
Nahki Wells,Bermuda,Queens Park Rangers,18,2019-2020
Saïd Benrahma,Algeria,Brentford FC,17,2019-2020
Jarrod Bowen,England,Hull City,17,2019-2020
Adam Armstrong,England,Blackburn Rovers,16,2019-2020
Patrick Bamford,England,Leeds United,16,2019-2020
André Ayew,Ghana,Swansea City,15,2019-2020
Bryan Mbeumo,Cameroon,Brentford FC,15,2019-2020
James Collins,England,Luton Town,14,2019-2020
Eberechi Eze,England,Queens Park Rangers,14,2019-2020
Lukas Jutkiewicz,England,Birmingham City,14,2019-2020
Steven Fletcher,Scotland,Sheffield Wednesday,13,2019-2020
Jordan Hugill,England,Queens Park Rangers,13,2019-2020
Yakou Meïté,Ivory Coast,Reading FC,13,2019-2020
Cauley Woodrow,England,Barnsley FC,13,2019-2020
Conor Chaplin,England,Barnsley FC,12,2019-2020
Famara Diédhiou,Senegal,Bristol City,12,2019-2020
Daniel Johnson,Jamaica,Preston North End,12,2019-2020
George Pușcaș,Romania,Reading FC,12,2019-2020
Matt Smith,England,Millwall FC,12,2019-2020
Martyn Waghorn,England,Derby County,12,2019-2020
Macauley Bonne,Zimbabwe,Charlton Athletic,11,2019-2020
Sam Clucas,England,Stoke City,11,2019-2020
Chris Martin,Scotland,Derby County,11,2019-2020
Lyle Taylor,Montserrat,Charlton Athletic,11,2019-2020
Britt Assombalonga,Congo DR,Middlesbrough FC,10,2019-2020
Charlie Austin,England,West Bromwich Albion,10,2019-2020
Rhian Brewster,England,Swansea City,10,2019-2020
Joshua Dasilva,England,Brentford FC,10,2019-2020
Ashley Fletcher,England,Middlesbrough FC,10,2019-2020
Tom Lawrence,Wales,Derby County,10,2019-2020
Kieffer Moore,Wales,Wigan Athletic,10,2019-2020
Hal Robson-Kanu,Wales,West Bromwich Albion,10,2019-2020
Jed Wallace,England,Millwall FC,10,2019-2020
Tom Barkhuizen,England,Preston North End,9,2019-2020
Tyrese Campbell,England,Stoke City,9,2019-2020
Harry Cornick,England,Luton Town,9,2019-2020
Bradley Dack,England,Blackburn Rovers,9,2019-2020
Scott Hogan,Ireland,Stoke City,9,2019-2020
Joe Lolley,England,Nottingham Forest,9,2019-2020
Jacob Murphy,England,Sheffield Wednesday,9,2019-2020
Pablo Hernández,Spain,Leeds United,9,2019-2020
Andreas Weimann,Austria,Bristol City,9,2019-2020
Tom Bradshaw,Wales,Millwall FC,8,2019-2020
Tom Cairney,England,Fulham FC,8,2019-2020
Grady Diangana,Congo DR,West Bromwich Albion,8,2019-2020
Kamil Grosicki,Poland,West Bromwich Albion,8,2019-2020
Matheus Pereira,Brazil,West Bromwich Albion,8,2019-2020
Steve Mounié,Benin,Huddersfield Town,8,2019-2020
Lee Tomlin,England,Cardiff City,8,2019-2020
Robert Glatzel,Germany,Cardiff City,7,2019-2020
Junior Hoilett,Canada,Cardiff City,7,2019-2020
Lucas João,Angola,Sheffield Wednesday,7,2019-2020
James McClean,Ireland,Stoke City,7,2019-2020
Jamie Paterson,England,Derby County,7,2019-2020
Matthew Phillips,Scotland,West Bromwich Albion,7,2019-2020
Joe Ralls,England,Cardiff City,7,2019-2020
Danny Ward,England,Cardiff City,7,2019-2020
Lewis Wing,England,Middlesbrough FC,7,2019-2020
Ezgjan Alioski,North Macedonia,Leeds United,6,2019-2020
Juninho Bacuna,Curaçao,Huddersfield Town,6,2019-2020
Borja González,Spain,Swansea City,6,2019-2020
Bobby De Cordova-Reid,Jamaica,Fulham FC,6,2019-2020
Cheyenne Dunkley,Jamaica,Wigan Athletic,6,2019-2020
Conor Gallagher,England,Swansea City,6,2019-2020
Paul Gallagher,Scotland,Preston North End,6,2019-2020
Sam Gallagher,England,Blackburn Rovers,6,2019-2020
Lee Gregory,England,Stoke City,6,2019-2020
Jack Harrison,England,Leeds United,6,2019-2020
Shaun Hutchinson,England,Millwall FC,6,2019-2020
Ivan Cavaleiro,Portugal,Fulham FC,6,2019-2020
Mateusz Klich,Poland,Leeds United,6,2019-2020
Jason Knight,Ireland,Derby County,6,2019-2020
Jamal Lowe,Jamaica,Wigan Athletic,6,2019-2020
Paddy McNair,Northern Ireland,Middlesbrough FC,6,2019-2020
Atdhe Nuhiu,Kosovo,Sheffield Wednesday,6,2019-2020
John Swift,England,Reading FC,6,2019-2020
Mallik Wilks,England,Hull City,6,2019-2020
Josh Windass,England,Wigan Athletic,6,2019-2020
Semi Ajayi,Nigeria,West Bromwich Albion,5,2019-2020
Sammy Ameobi,England,Nottingham Forest,5,2019-2020
Sam Baldock,England,Reading FC,5,2019-2020
Josh Brownhill,England,Bristol City,5,2019-2020
Stuart Dallas,Northern Ireland,Leeds United,5,2019-2020
Grant Hall,England,Queens Park Rangers,5,2019-2020
Josh Harrop,England,Preston North End,5,2019-2020
Jonathan Leko,England,West Bromwich Albion,5,2019-2020
Seán Maguire,Ireland,Preston North End,5,2019-2020
Josh Murphy,England,Cardiff City,5,2019-2020
Bright Osayi-Samuel,Nigeria,Queens Park Rangers,5,2019-2020
Callum Paterson,Scotland,Cardiff City,5,2019-2020
Nick Powell,England,Stoke City,5,2019-2020
Wayne Rooney,England,Derby County,5,2019-2020
Louie Sibley,England,Derby County,5,2019-2020
Sam Vokes,Wales,Stoke City,5,2019-2020
Joe Allen,Wales,Stoke City,4,2019-2020
Luke Ayling,England,Leeds United,4,2019-2020
Danny Batth,England,Stoke City,4,2019-2020
Jude Bellingham,England,Birmingham City,4,2019-2020
Alan Browne,Ireland,Preston North End,4,2019-2020
Ilias Chair,Morocco,Queens Park Rangers,4,2019-2020
Kieran Dowell,England,Wigan Athletic,4,2019-2020
Tom Eaves,England,Hull City,4,2019-2020
Gary Gardner,England,Birmingham City,4,2019-2020
Danny Graham,England,Blackburn Rovers,4,2019-2020
Aapo Halme,Finland,Barnsley FC,4,2019-2020
Hélder Costa,Angola,Leeds United,4,2019-2020
Aboubakar Kamara,Mauritania,Fulham FC,4,2019-2020
Josh Magennis,Northern Ireland,Hull City,4,2019-2020
Ryan Manning,Ireland,Queens Park Rangers,4,2019-2020
Callum McManaman,England,Luton Town,4,2019-2020
Sean Morrison,England,Cardiff City,4,2019-2020
Kristian Pedersen,Denmark,Birmingham City,4,2019-2020
Tyler Roberts,Wales,Leeds United,4,2019-2020
Wayne Routledge,England,Swansea City,4,2019-2020
Jayden Stockley,England,Preston North End,4,2019-2020
Sam Surridge,England,Swansea City,4,2019-2020
Will Vaulks,Wales,Cardiff City,4,2019-2020
Tosin Adarabioyo,England,Blackburn Rovers,3,2019-2020
Benik Afobe,Congo DR,Stoke City,3,2019-2020
Álvaro Giménez,Spain,Birmingham City,3,2019-2020
Patrick Bauer,Germany,Preston North End,3,2019-2020
Jón Böðvarsson,Iceland,Millwall FC,3,2019-2020
Sonny Bradley,England,Luton Town,3,2019-2020
Jacob Brown,Scotland,Barnsley FC,3,2019-2020
Fraizer Campbell,England,Huddersfield Town,3,2019-2020
Matty Cash,Poland,Nottingham Forest,3,2019-2020
Jake Cooper,England,Millwall FC,3,2019-2020
Yan Dhanda,England,Swansea City,3,2019-2020
Ovie Ejaria,England,Reading FC,3,2019-2020
Niclas Eliasson,Sweden,Bristol City,3,2019-2020
Jay Fulton,Scotland,Swansea City,3,2019-2020
Kadeem Harris,England,Sheffield Wednesday,3,2019-2020
Lewis Holtby,Germany,Blackburn Rovers,3,2019-2020
Tom Ince,England,Stoke City,3,2019-2020
Michael Jacobs,England,Wigan Athletic,3,2019-2020
Bradley Johnson,England,Blackburn Rovers,3,2019-2020
Elias Kachunga,Congo DR,Huddersfield Town,3,2019-2020
Neeskens Kebano,Congo DR,Fulham FC,3,2019-2020
Anthony Knockaert,France,Fulham FC,3,2019-2020
Filip Krovinović,Croatia,West Bromwich Albion,3,2019-2020
Darragh Lenihan,Ireland,Blackburn Rovers,3,2019-2020
Jake Livermore,England,West Bromwich Albion,3,2019-2020
Kazenga LuaLua,England,Luton Town,3,2019-2020
Massimo Luongo,Australia,Sheffield Wednesday,3,2019-2020
Connor Mahoney,England,Millwall FC,3,2019-2020
Nathaniel Mendez-Laing,Guatemala,Cardiff City,3,2019-2020
Sam Morsy,Egypt,Wigan Athletic,3,2019-2020
Alex Mowatt,England,Barnsley FC,3,2019-2020
Pelly-Ruddock Mpanzu,Congo DR,Luton Town,3,2019-2020
Kal Naismith,Scotland,Wigan Athletic,3,2019-2020
Kyle Naughton,England,Swansea City,3,2019-2020
Eddie Nketiah,England,Leeds United,3,2019-2020
Aiden O'Brien,Ireland,Millwall FC,3,2019-2020
Dara O'Shea,Ireland,West Bromwich Albion,3,2019-2020
Josh Onomah,England,Fulham FC,3,2019-2020
Anthony Pilkington,Ireland,Wigan Athletic,3,2019-2020
Jordan Rhodes,Scotland,Sheffield Wednesday,3,2019-2020
Callum Robinson,Ireland,West Bromwich Albion,3,2019-2020
Naby Sarr,Senegal,Charlton Athletic,3,2019-2020
Patrick Schmidt,Austria,Barnsley FC,3,2019-2020
Scott Sinclair,England,Preston North End,3,2019-2020
Ivan Šunjić,Croatia,Birmingham City,3,2019-2020
Marcus Tavernier,England,Middlesbrough FC,3,2019-2020
Tiago Silva,Portugal,Nottingham Forest,3,2019-2020
Tobias Figueiredo,Portugal,Nottingham Forest,3,2019-2020
Ben Watson,England,Nottingham Forest,3,2019-2020
Derrick Williams,Ireland,Blackburn Rovers,3,2019-2020
Ryan Yates,England,Nottingham Forest,3,2019-2020
Kenneth Zohoré,Denmark,West Bromwich Albion,3,2019-2020
Charlie Adam,Scotland,Reading FC,2,2019-2020
Albert Adomah,Ghana,Nottingham Forest,2,2019-2020
Alfa Semedo,Guinea-Bissau,Nottingham Forest,2,2019-2020
Luke Amos,England,Queens Park Rangers,2,2019-2020
Harry Arter,Ireland,Fulham FC,2,2019-2020
Barry Bannan,Scotland,Sheffield Wednesday,2,2019-2020
Jérémie Bela,Angola,Birmingham City,2,2019-2020
Filip Benković,Croatia,Bristol City,2,2019-2020
Mason Bennett,England,Millwall FC,2,2019-2020
Billy Bodin,Wales,Preston North End,2,2019-2020
John Buckley,England,Blackburn Rovers,2,2019-2020
George Byers,Scotland,Swansea City,2,2019-2020
Bersant Celina,Kosovo,Swansea City,2,2019-2020
Liam Cooper,Scotland,Leeds United,2,2019-2020
Martin Cranie,England,Luton Town,2,2019-2020
Daniel Ayala,Spain,Middlesbrough FC,2,2019-2020
Jordy de Wijs,Netherlands,Hull City,2,2019-2020
Alfie Doughty,England,Charlton Athletic,2,2019-2020
Stewart Downing,England,Blackburn Rovers,2,2019-2020
Kyle Edwards,England,West Bromwich Albion,2,2019-2020
Elliot Simões,Portugal,Barnsley FC,2,2019-2020
Lee Evans,Wales,Wigan Athletic,2,2019-2020
Aden Flint,England,Cardiff City,2,2019-2020
Fernando Forestieri,Italy,Sheffield Wednesday,2,2019-2020
Morgan Fox,Wales,Sheffield Wednesday,2,2019-2020
Darnell Furlong,England,West Bromwich Albion,2,2019-2020
Joe Garner,England,Wigan Athletic,2,2019-2020
Jordon Garrick,Jamaica,Swansea City,2,2019-2020
Rudy Gestede,Benin,Middlesbrough FC,2,2019-2020
Andre Green,England,Preston North End,2,2019-2020
Duane Holmes,USA,Derby County,2,2019-2020
Dominic Iorfa,England,Sheffield Wednesday,2,2019-2020
Jackson Irvine,Australia,Hull City,2,2019-2020
Herbie Kane,England,Hull City,2,2019-2020
Cédric Kipré,Ivory Coast,Wigan Athletic,2,2019-2020
Tom Lees,England,Sheffield Wednesday,2,2019-2020
Leonardo Lopes,Portugal,Hull City,2,2019-2020
Keane Lewis-Potter,England,Hull City,2,2019-2020
Liam Lindsay,Scotland,Stoke City,2,2019-2020
Emiliano Marcondes,Denmark,Brentford FC,2,2019-2020
Jack Marriott,England,Derby County,2,2019-2020
Cameron McGeehan,Northern Ireland,Barnsley FC,2,2019-2020
Matt Miazga,USA,Reading FC,2,2019-2020
Michael Morrison,England,Reading FC,2,2019-2020
Kerim Mrabti,Sweden,Birmingham City,2,2019-2020
Lewis O'Brien,England,Huddersfield Town,2,2019-2020
Jordan Obita,England,Reading FC,2,2019-2020
Marlon Pack,England,Cardiff City,2,2019-2020
Matty Pearson,England,Luton Town,2,2019-2020
Pedro Pereira,Portugal,Bristol City,2,2019-2020
Kalvin Phillips,England,Leeds United,2,2019-2020
Ethan Pinnock,Jamaica,Brentford FC,2,2019-2020
Brad Potts,England,Preston North End,2,2019-2020
Darren Pratley,England,Charlton Athletic,2,2019-2020
Marc Pugh,England,Queens Park Rangers,2,2019-2020
Ben Purrington,England,Charlton Athletic,2,2019-2020
Joe Rothwell,England,Blackburn Rovers,2,2019-2020
Tommy Rowe,England,Bristol City,2,2019-2020
Dominic Samuel,England,Blackburn Rovers,2,2019-2020
Christopher Schindler,Germany,Huddersfield Town,2,2019-2020
Jamie Shackleton,England,Leeds United,2,2019-2020
Graeme Shinnie,Scotland,Derby County,2,2019-2020
Emile Smith Rowe,England,Huddersfield Town,2,2019-2020
Kevin Stewart,Jamaica,Hull City,2,2019-2020
Lewis Travis,England,Blackburn Rovers,2,2019-2020
Connor Wickham,England,Sheffield Wednesday,2,2019-2020
Ashley Williams,Wales,Bristol City,2,2019-2020
Shaun Williams,Ireland,Millwall FC,2,2019-2020
Chris Willock,England,Huddersfield Town,2,2019-2020
Ben Wilmot,England,Swansea City,2,2019-2020
Chuks Aneke,England,Charlton Athletic,1,2019-2020
Leandro Bacuna,Curaçao,Cardiff City,1,2019-2020
Mike-Steven Bähre,Germany,Barnsley FC,1,2019-2020
Odin Bailey,England,Birmingham City,1,2019-2020
Nathan Baker,England,Bristol City,1,2019-2020
Dominic Ball,Northern Ireland,Queens Park Rangers,1,2019-2020
Bambo Diaby,Spain,Barnsley FC,1,2019-2020
Kyle Bartley,England,West Bromwich Albion,1,2019-2020
Luke Berry,England,Luton Town,1,2019-2020
Jayden Bogle,England,Derby County,1,2019-2020
Omar Bogle,England,Cardiff City,1,2019-2020
Julian Börner,Germany,Sheffield Wednesday,1,2019-2020
Josh Bowler,England,Hull City,1,2019-2020
Ben Brereton,Chile,Blackburn Rovers,1,2019-2020
Izzy Brown,England,Luton Town,1,2019-2020
Joe Bryan,England,Fulham FC,1,2019-2020
Jacob Butterfield,England,Luton Town,1,2019-2020
