Player,Country,Team,Assists,Season
Jack Rudoni,England,Huddersfield Town,5,2022-2023
Alex Scott,England,Bristol City,5,2022-2023
Will Smallbone,Ireland,Stoke City,5,2022-2023
Nathan Tella,England,Burnley FC,5,2022-2023
Andreas Voglsammer,Germany,Millwall FC,5,2022-2023
Andreas Weimann,Austria,Bristol City,5,2022-2023
Álvaro Fernández,Spain,Preston North End,4,2022-2023
Lewis Baker,England,Stoke City,4,2022-2023
Jake Bidwell,England,Coventry City,4,2022-2023
Tom Bradshaw,Wales,Millwall FC,4,2022-2023
James Bree,England,Luton Town,4,2022-2023
Ben Brereton,Chile,Blackburn Rovers,4,2022-2023
Jordan Clark,England,Luton Town,4,2022-2023
Harry Cornick,England,Luton Town,4,2022-2023
Josh Cullen,Ireland,Burnley FC,4,2022-2023
Luke Cundle,England,Swansea City,4,2022-2023
Tommy Doyle,England,Sheffield United,4,2022-2023
Gabriel Sara,Brazil,Norwich City,4,2022-2023
Matt Godden,England,Coventry City,4,2022-2023
Hayden Hackney,Scotland,Middlesbrough FC,4,2022-2023
Christopher Hamilton,Ireland,Blackpool FC,4,2022-2023
Ryan Hedges,Wales,Blackburn Rovers,4,2022-2023
Tom Ince,England,Reading FC,4,2022-2023
João Pedro,Brazil,Watford FC,4,2022-2023
Callum Lang,England,Wigan Athletic,4,2022-2023
Imrân Louza,Morocco,Watford FC,4,2022-2023
Gary Madine,England,Blackpool FC,4,2022-2023
Jayson Molumby,Ireland,West Bromwich Albion,4,2022-2023
Dan Neil,England,Sunderland AFC,4,2022-2023
Chiedozie Ogbene,Ireland,Rotherham United,4,2022-2023
Charlie Patino,England,Blackpool FC,4,2022-2023
Aaron Ramsey,England,Norwich City,4,2022-2023
Mahlon Romeo,Antigua & Barbuda,Cardiff City,4,2022-2023
Regan Slater,England,Hull City,4,2022-2023
Josh Tymon,England,Stoke City,4,2022-2023
Danny Ward,England,Huddersfield Town,4,2022-2023
Jerry Yates,England,Blackpool FC,4,2022-2023
Elijah Adebayo,England,Luton Town,3,2022-2023
George Baldock,Greece,Sheffield United,3,2022-2023
Ashley Barnes,England,Burnley FC,3,2022-2023
Manuel Benson,Belgium,Burnley FC,3,2022-2023
Maxime Colin,France,Birmingham City,3,2022-2023
Tommy Conway,Scotland,Bristol City,3,2022-2023
Jake Cooper,England,Millwall FC,3,2022-2023
Amad Diallo,Ivory Coast,Sunderland AFC,3,2022-2023
Grady Diangana,Congo DR,West Bromwich Albion,3,2022-2023
Kieran Dowell,England,Norwich City,3,2022-2023
Callum Elder,Australia,Hull City,3,2022-2023
Zian Flemming,Netherlands,Millwall FC,3,2022-2023
Tariqe Fosu,Ghana,Stoke City,3,2022-2023
Morgan Fox,Wales,Stoke City,3,2022-2023
Joe Gelhardt,England,Sunderland AFC,3,2022-2023
Lynden Gooch,USA,Sunderland AFC,3,2022-2023
Wes Harding,Jamaica,Rotherham United,3,2022-2023
George Honeyman,England,Millwall FC,3,2022-2023
Jonny Howson,England,Middlesbrough FC,3,2022-2023
Daniel Johnson,Jamaica,Preston North End,3,2022-2023
Joel Latibeaudiere,Jamaica,Swansea City,3,2022-2023
Josh Laurent,England,Stoke City,3,2022-2023
Darragh Lenihan,Ireland,Middlesbrough FC,3,2022-2023
Scott Malone,England,Millwall FC,3,2022-2023
James McAtee,England,Sheffield United,3,2022-2023
Riley McGree,Australia,Middlesbrough FC,3,2022-2023
Kenny McLean,Scotland,Norwich City,3,2022-2023
Yakou Meïté,Ivory Coast,Reading FC,3,2022-2023
Olivier Ntcham,Cameroon,Swansea City,3,2022-2023
Callum O'Dowda,Ireland,Cardiff City,3,2022-2023
Callum O'Hare,England,Coventry City,3,2022-2023
Kenneth Paal,Suriname,Queens Park Rangers,3,2022-2023
Max Power,England,Wigan Athletic,3,2022-2023
Joe Rankin-Costello,England,Blackburn Rovers,3,2022-2023
Andy Rinomhota,Zimbabwe,Cardiff City,3,2022-2023
Tom Rogić,Australia,West Bromwich Albion,3,2022-2023
Matty Sorinola,England,Swansea City,3,2022-2023
Ross Stewart,Scotland,Sunderland AFC,3,2022-2023
Benjamin Tetteh,Ghana,Hull City,3,2022-2023
Conor Townsend,England,West Bromwich Albion,3,2022-2023
Duncan Watmore,England,Millwall FC,3,2022-2023
Ryan Wintle,England,Cardiff City,3,2022-2023
Max Aarons,England,Norwich City,2,2022-2023
Anel Ahmedhodžić,Bosnia-Herzegovina,Sheffield United,2,2022-2023
Chuba Akpom,England,Middlesbrough FC,2,2022-2023
Jamie Allen,England,Coventry City,2,2022-2023
Keshi Anderson,England,Blackpool FC,2,2022-2023
Yáser Asprilla,Colombia,Watford FC,2,2022-2023
Femi Azeez,England,Reading FC,2,2022-2023
Chris Basham,England,Sheffield United,2,2022-2023
Jordan Beyer,Germany,Burnley FC,2,2022-2023
Josh Bowler,England,Blackpool FC,2,2022-2023
Alan Browne,Ireland,Preston North End,2,2022-2023
Oliver Burke,Scotland,Millwall FC,2,2022-2023
Allan Campbell,Scotland,Luton Town,2,2022-2023
Andy Carroll,England,Reading FC,2,2022-2023
Ollie Cooper,Wales,Swansea City,2,2022-2023
Jack Cork,England,Burnley FC,2,2022-2023
Conor Coventry,Ireland,Rotherham United,2,2022-2023
Lewie Coyle,England,Hull City,2,2022-2023
Greg Cunningham,Ireland,Preston North End,2,2022-2023
Fankaty Dabo,England,Coventry City,2,2022-2023
Keinan Davis,England,Watford FC,2,2022-2023
Brahima Diarra,Mali,Huddersfield Town,2,2022-2023
Greg Docherty,Scotland,Hull City,2,2022-2023
Kenny Dougall,Australia,Blackpool FC,2,2022-2023
Cody Drameh,England,Luton Town,2,2022-2023
Lyndon Dykes,Scotland,Queens Park Rangers,2,2022-2023
Josh Eccles,England,Coventry City,2,2022-2023
Elliot Embleton,England,Sunderland AFC,2,2022-2023
Sam Field,England,Queens Park Rangers,2,2022-2023
Lewis Fiorini,Scotland,Blackpool FC,2,2022-2023
Aden Flint,England,Stoke City,2,2022-2023
Tyrese Fornah,England,Reading FC,2,2022-2023
Sam Gallagher,England,Blackburn Rovers,2,2022-2023
Jordan Graham,England,Birmingham City,2,2022-2023
Jacob Greaves,England,Hull City,2,2022-2023
Taylor Harwood-Bellis,England,Burnley FC,2,2022-2023
Michał Helik,Poland,Huddersfield Town,2,2022-2023
Duane Holmes,USA,Huddersfield Town,2,2022-2023
Andrew Hughes,Wales,Preston North End,2,2022-2023
Trai Hume,Northern Ireland,Sunderland AFC,2,2022-2023
Dominic Hyam,Scotland,Coventry City,2,2022-2023
Lukas Jutkiewicz,England,Birmingham City,2,2022-2023
Hassane Kamara,Ivory Coast,Watford FC,2,2022-2023
Will Keane,Ireland,Wigan Athletic,2,2022-2023
Reda Khadra,Germany,Sheffield United,2,2022-2023
Ethan Laird,England,Queens Park Rangers,2,2022-2023
Shayne Lavery,Northern Ireland,Blackpool FC,2,2022-2023
Liam Lindsay,Scotland,Preston North End,2,2022-2023
Emmanuel Longelo,England,Birmingham City,2,2022-2023
Jamal Lowe,Jamaica,Queens Park Rangers,2,2022-2023
Lucas João,Angola,Reading FC,2,2022-2023
Oliver McBurnie,Scotland,Sheffield United,2,2022-2023
Tyler Morton,England,Blackburn Rovers,2,2022-2023
Alex Mowatt,England,West Bromwich Albion,2,2022-2023
Kal Naismith,Scotland,Bristol City,2,2022-2023
Perry Ng,England,Cardiff City,2,2022-2023
Brooke Norton-Cuffy,England,Rotherham United,2,2022-2023
Marcelino Núñez,Chile,Norwich City,2,2022-2023
Michael Obafemi,Ireland,Swansea City,2,2022-2023
Fred Onyedinma,Nigeria,Luton Town,2,2022-2023
Kasey Palmer,Jamaica,Coventry City,2,2022-2023
Jamie Paterson,England,Swansea City,2,2022-2023
Matthew Phillips,Scotland,West Bromwich Albion,2,2022-2023
Harry Pickering,England,Blackburn Rovers,2,2022-2023
Joël Piroe,Netherlands,Swansea City,2,2022-2023
Brad Potts,England,Preston North End,2,2022-2023
Joe Ralls,England,Cardiff City,2,2022-2023
Oliver Rathbone,England,Rotherham United,2,2022-2023
Jay Rodriguez,England,Burnley FC,2,2022-2023
Josh Sargent,USA,Norwich City,2,2022-2023
Allahyar Sayyadmanesh,Iran,Hull City,2,2022-2023
Antoine Semenyo,Ghana,Bristol City,2,2022-2023
Jean Seri,Ivory Coast,Hull City,2,2022-2023
Ben Sheaf,England,Coventry City,2,2022-2023
Ellis Simms,England,Sunderland AFC,2,2022-2023
Danel Sinani,Luxembourg,Wigan Athletic,2,2022-2023
Enda Stevens,Ireland,Sheffield United,2,2022-2023
Sammie Szmodics,Ireland,Blackburn Rovers,2,2022-2023
Adama Traoré,Mali,Hull City,2,2022-2023
Lewis Travis,England,Blackburn Rovers,2,2022-2023
Auston Trusty,USA,Birmingham City,2,2022-2023
Zak Vyner,England,Bristol City,2,2022-2023
Ben Whiteman,England,Preston North End,2,2022-2023
Connor Wickham,England,Cardiff City,2,2022-2023
Joe Williams,England,Bristol City,2,2022-2023
Chris Willock,England,Queens Park Rangers,2,2022-2023
Richard Wood,England,Rotherham United,2,2022-2023
Ben Woodburn,Wales,Preston North End,2,2022-2023
Ryan Woods,England,Hull City,2,2022-2023
Charlie Wyke,England,Wigan Athletic,2,2022-2023
Thelo Aasgaard,Norway,Wigan Athletic,1,2022-2023
Benik Afobe,Congo DR,Millwall FC,1,2022-2023
Joe Allen,Wales,Swansea City,1,2022-2023
Rob Atkinson,England,Bristol City,1,2022-2023
Abdoullah Ba,France,Sunderland AFC,1,2022-2023
Daniel Ballard,Northern Ireland,Sunderland AFC,1,2022-2023
Samuel Bastien,Congo DR,Burnley FC,1,2022-2023
Danny Batth,England,Sunderland AFC,1,2022-2023
Vakoun Bayo,Ivory Coast,Watford FC,1,2022-2023
Amari'i Bell,Jamaica,Luton Town,1,2022-2023
Sam Bell,England,Bristol City,1,2022-2023
Mason Bennett,England,Millwall FC,1,2022-2023
Jewison Bennette,Costa Rica,Sunderland AFC,1,2022-2023
Krystian Bielik,Poland,Birmingham City,1,2022-2023
Nicholas Bilokapić,Australia,Huddersfield Town,1,2022-2023
Jayden Bogle,England,Sheffield United,1,2022-2023
Tolaji Bola,England,Rotherham United,1,2022-2023
Will Boyle,England,Huddersfield Town,1,2022-2023
Rhian Brewster,England,Sheffield United,1,2022-2023
Callum Brittain,England,Blackburn Rovers,1,2022-2023
Jacob Brown,Scotland,Stoke City,1,2022-2023
John Buckley,England,Blackburn Rovers,1,2022-2023
Tyler Burey,England,Millwall FC,1,2022-2023
Thomas Cannon,Ireland,Preston North End,1,2022-2023
Sonny Carey,England,Blackpool FC,1,2022-2023
Craig Cathcart,Northern Ireland,Watford FC,1,2022-2023
Cyrus Christie,Ireland,Hull City,1,2022-2023
Dennis Cirkin,England,Sunderland AFC,1,2022-2023
Rubin Colwill,Wales,Cardiff City,1,2022-2023
Callum Connolly,England,Blackpool FC,1,2022-2023
Theo Corbeanu,Canada,Blackpool FC,1,2022-2023
Charlie Cresswell,England,Millwall FC,1,2022-2023
Liam Cullen,Wales,Swansea City,1,2022-2023
Bradley Dack,England,Blackburn Rovers,1,2022-2023
Daniel Ayala,Spain,Blackburn Rovers,1,2022-2023
Tendayi Darikwa,Zimbabwe,Wigan Athletic,1,2022-2023
Harry Darling,England,Swansea City,1,2022-2023
Jay Dasilva,Wales,Bristol City,1,2022-2023
Troy Deeney,England,Birmingham City,1,2022-2023
Tom Dele-Bashiru,Nigeria,Watford FC,1,2022-2023
Anfernee Dijksteel,Suriname,Middlesbrough FC,1,2022-2023
Daryl Dike,USA,West Bromwich Albion,1,2022-2023
Callum Doyle,England,Coventry City,1,2022-2023
Tom Eaves,England,Rotherham United,1,2022-2023
Tayo Edun,England,Blackburn Rovers,1,2022-2023
John Egan,Ireland,Sheffield United,1,2022-2023
Ovie Ejaria,England,Reading FC,1,2022-2023
Hjalmar Ekdal,Sweden,Burnley FC,1,2022-2023
Óscar Estupiñán,Colombia,Hull City,1,2022-2023
Kion Etete,England,Cardiff City,1,2022-2023
Ched Evans,Wales,Preston North End,1,2022-2023
John Fleck,Scotland,Sheffield United,1,2022-2023
Brandon Fleming,England,Hull City,1,2022-2023
Wes Foderingham,England,Sheffield United,1,2022-2023
Luke Freeman,England,Luton Town,1,2022-2023
Jay Fulton,Scotland,Swansea City,1,2022-2023
Jordan Gabriel,England,Blackpool FC,1,2022-2023
Taylor Gardner-Hickman,England,West Bromwich Albion,1,2022-2023
Dimitris Giannoulis,Greece,Norwich City,1,2022-2023
Ben Gibson,England,Norwich City,1,2022-2023
Nesta Guinness-Walker,England,Reading FC,1,2022-2023
George Hall,England,Birmingham City,1,2022-2023
Grant Hanley,Scotland,Norwich City,1,2022-2023
Jaheim Headley,England,Huddersfield Town,1,2022-2023
Jeff Hendrick,Ireland,Reading FC,1,2022-2023
Henrique Araújo,Portugal,Watford FC,1,2022-2023
Ki-Jana Hoever,Netherlands,Stoke City,1,2022-2023
Scott Hogan,Ireland,Birmingham City,1,2022-2023
Jonathan Hogg,England,Huddersfield Town,1,2022-2023
Joseph Hungbo,England,Watford FC,1,2022-2023
James Husband,England,Blackpool FC,1,2022-2023
Sam Hutchinson,England,Reading FC,1,2022-2023
Adam Idah,Ireland,Norwich City,1,2022-2023
Ben Jackson,England,Huddersfield Town,1,2022-2023
Phil Jagielka,England,Stoke City,1,2022-2023
Daniel Jebbison,England,Sheffield United,1,2022-2023
Cameron Jerome,Grenada,Luton Town,1,2022-2023
Sory Kaba,Guinea,Cardiff City,1,2022-2023
Osman Kakay,Sierra Leone,Queens Park Rangers,1,2022-2023
David Kasumu,Nigeria,Huddersfield Town,1,2022-2023
Jason Kerr,Scotland,Wigan Athletic,1,2022-2023
Kaine Kesler-Hayden,England,Huddersfield Town,1,2022-2023
Andy King,Wales,Bristol City,1,2022-2023
Anthony Knockaert,France,Huddersfield Town,1,2022-2023
Ismaël Koné,Canada,Watford FC,1,2022-2023
Josh Koroma,England,Huddersfield Town,1,2022-2023
Tom Lees,England,Huddersfield Town,1,2022-2023
Ryan Leonard,England,Millwall FC,1,2022-2023
Tom Lockyer,Wales,Luton Town,1,2022-2023
Shane Long,Ireland,Reading FC,1,2022-2023
Ryan Longman,England,Hull City,1,2022-2023
Mamadou Loum,Senegal,Reading FC,1,2022-2023
Joe Lumley,England,Reading FC,1,2022-2023
Josh Magennis,Northern Ireland,Wigan Athletic,1,2022-2023
Marquinhos Oliveira,Brazil,Norwich City,1,2022-2023
Matheus Martins,Brazil,Watford FC,1,2022-2023
Sam McCallum,England,Norwich City,1,2022-2023
Tom McIntyre,Scotland,Reading FC,1,2022-2023
Sean McLoughlin,Ireland,Hull City,1,2022-2023
Danny McNamara,Ireland,Millwall FC,1,2022-2023
Anis Mehmeti,Albania,Bristol City,1,2022-2023
Billy Mitchell,England,Millwall FC,1,2022-2023
Pelly-Ruddock Mpanzu,Congo DR,Luton Town,1,2022-2023
Kyle Naughton,England,Swansea City,1,2022-2023
Tom Naylor,England,Wigan Athletic,1,2022-2023
Niels Nkounkou,France,Cardiff City,1,2022-2023
Luke O'Nien,England,Sunderland AFC,1,2022-2023
Dara O'Shea,Ireland,West Bromwich Albion,1,2022-2023
Josh Onomah,England,Preston North End,1,2022-2023
Jonathan Panzo,England,Coventry City,1,2022-2023
Anthony Patterson,England,Sunderland AFC,1,2022-2023
Ben Pearson,England,Stoke City,1,2022-2023
Matty Pearson,England,Huddersfield Town,1,2022-2023
Dimitrios Pelkas,Greece,Hull City,1,2022-2023
Jaden Philogene,England,Cardiff City,1,2022-2023
Ryan Porteous,Scotland,Watford FC,1,2022-2023
Ian Poveda,Colombia,Blackpool FC,1,2022-2023
Milot Rashica,Kosovo,Norwich City,1,2022-2023
Marc Roberts,England,Birmingham City,1,2022-2023
Jack Robinson,England,Sheffield United,1,2022-2023
Morgan Rogers,England,Blackpool FC,1,2022-2023
Dion Sanderson,England,Birmingham City,1,2022-2023
Naby Sarr,Senegal,Reading FC,1,2022-2023
Billy Sharp,England,Sheffield United,1,2022-2023
Doğukan Sinik,Turkey,Hull City,1,2022-2023
Tommy Smith,England,Middlesbrough FC,1,2022-2023
Jacob Sørensen,Denmark,Norwich City,1,2022-2023
Zack Steffen,USA,Middlesbrough FC,1,2022-2023
Callum Styles,Hungary,Millwall FC,1,2022-2023
Mark Sykes,Ireland,Bristol City,1,2022-2023
Charlie Taylor,England,Burnley FC,1,2022-2023
Jordan Thorniley,England,Blackpool FC,1,2022-2023
Ollie Turton,England,Huddersfield Town,1,2022-2023
Scott Twine,England,Burnley FC,1,2022-2023
Vitinho,Brazil,Burnley FC,1,2022-2023
Liam Walsh,England,Swansea City,1,2022-2023
Adam Wharton,England,Blackburn Rovers,1,2022-2023
Jack Whatmough,England,Wigan Athletic,1,2022-2023
Gavin Whyte,Northern Ireland,Cardiff City,1,2022-2023
Ben Wiles,England,Rotherham United,1,2022-2023
Nathan Wood,England,Swansea City,1,2022-2023
Cauley Woodrow,England,Luton Town,1,2022-2023
Andy Yiadom,Ghana,Reading FC,1,2022-2023
